model_id,event_id,node_type,node_id,timesteps,oscillation_score,direction_changes,peaks_troughs,mean_curvature,normalized_tv,std_dev,value_range,min_value,max_value,rank
1,8,1,9,387,12.975145085870023,51,25,0.02119345454545492,11.044720000000174,0.20975696204087566,0.75,312.25,313.0,1.0
1,8,1,12,387,9.79138333590866,15,2,0.01503625974025938,7.272809494396775,0.5020658624161429,1.8132800000000202,295.00772,296.821,2.0
1,8,1,0,387,9.683613904983961,17,2,0.013762363636364579,7.333946989685852,0.46441715043376686,1.667599999999993,292.1361,293.8037,3.0
1,8,1,11,387,9.565787025230462,17,2,0.013847012987013706,7.1878146730953665,0.4620926169749136,1.688259999999957,292.84604,294.5343,4.0
1,8,1,4,387,9.53495077640912,17,5,0.008867948051948446,8.106672295420404,0.27443397806193365,0.9001400000000217,310.3845,311.28464,5.0
1,8,2,2854,387,12.933353522041715,37,13,0.010227114194399351,11.89619130572492,0.10161998095590986,0.385406494140625,342.86041259765625,343.2458190917969,1.0
1,8,2,563,387,12.511485997773727,31,8,0.008404303216314935,11.69695103172159,0.06314610088685595,0.297271728515625,298.94952392578125,299.2467956542969,2.0
1,8,2,3412,387,11.761149873235864,43,12,0.0029814484831574674,10.975397973950797,0.029607877072693713,0.105438232421875,298.8681640625,298.9736022949219,3.0
1,8,2,2872,387,11.13626961010409,33,11,0.005787559608360389,10.313733638063578,0.08385421411201584,0.29376220703125,342.9525146484375,343.24627685546875,4.0
1,8,2,2960,387,11.059393064413687,43,14,0.006376350700081169,10.139294242504644,0.054107099314725605,0.23004150390625,300.9537658691406,301.1838073730469,5.0
2,17,2,1464,399,16.244711482611507,1,0,0.00789967111736486,1.0694179989846793,4.19577997989438,10.970840454101555,32.884788513183594,43.85562896728515,1.0
2,17,2,1465,399,15.628985427789663,7,0,0.008280362530379283,1.092861268084422,4.0099383659422205,10.436172485351562,33.419464111328125,43.85563659667969,2.0
2,17,2,291,399,12.236926268624783,1,0,0.002724308811447003,1.0858338059454098,2.4939528160506415,8.871944427490234,34.983699798583984,43.85564422607422,3.0
2,17,2,292,399,12.214015264419311,1,0,0.0034692797913059596,1.0861935413673047,2.502075833650132,8.834960937500007,35.020687103271484,43.85564804077149,4.0
2,17,2,9,399,12.19908283779713,1,0,0.002192009606349396,1.1202406093959945,2.48055374032668,8.80929183959961,39.41407012939453,48.22336196899414,5.0
2,65,1,193,399,21.02628242411672,9,0,0.015389395465994955,2.423380237496279,4.708716485726613,13.863375000000001,28.789911,42.653286,1.0
2,65,1,194,399,20.832284405921556,9,0,0.014577879093198872,2.343104739859541,4.63498375732007,13.844271000000003,28.789911,42.634182,2.0
2,65,1,123,399,19.34037933826075,5,0,0.010850763224181409,1.5330720348586564,5.1793720869584785,12.442475999999996,28.315256,40.757732,3.0
2,65,1,3,399,18.775353622071158,7,0,0.011198166246851462,1.6408056609952484,4.5719968558776785,12.504514999999998,27.345407,39.849922,4.0
2,65,1,2,399,18.263093141489264,9,0,0.012894992443324689,1.5808048354009765,4.519706056677776,12.052775,28.838373,40.891148,5.0
